model_key,mileage,fuel,paint_color,car_type,price,sold_at,model_key_spaceless,model_index_inrange,MPower_yn,highMiles_yn,lowMiles_yn,superHighMiles_yn,fast_yn,condition
118,140411,diesel,black,convertible,11300,2018-01-01,118,118BMW,no,no,no,no,no,used
M4,13929,petrol,grey,convertible,69700,2018-02-01,M4,M4BMW,yes,no,yes,no,yes,new
320,183297,diesel,white,convertible,10200,2018-02-01,320,320BMW,no,yes,no,no,no,used
420,128035,diesel,red,convertible,25100,2018-02-01,420,420BMW,no,no,no,no,no,used
425,97097,diesel,silver,convertible,33400,2018-04-01,425,425BMW,no,no,yes,no,no,used
335,152352,petrol,black,convertible,17100,2018-02-01,335,335BMW,no,yes,no,no,no,used
325,205219,diesel,grey,convertible,12400,2018-02-01,325,325BMW,no,yes,no,no,no,used
118,115560,petrol,white,convertible,6100,2018-02-01,118,118BMW,no,no,no,no,no,used
Z4,123886,petrol,black,convertible,6200,2018-03-01,Z4,Z4BMW,no,no,no,no,no,used
320,139541,diesel,white,convertible,17300,2018-03-01,320,320BMW,no,no,no,no,no,used
320,77115,diesel,blue,convertible,19300,2018-03-01,320,320BMW,no,no,yes,no,no,used
325,228000,diesel,black,convertible,13300,2018-03-01,325,325BMW,no,yes,no,no,no,used
420,132025,diesel,blue,convertible,21700,2018-03-01,420,420BMW,no,no,no,no,no,used
420,77061,diesel,black,convertible,36300,2018-03-01,420,420BMW,no,no,yes,no,no,used
120,174631,diesel,black,convertible,10500,2018-04-01,120,120BMW,no,yes,no,no,no,used
120,208945,diesel,grey,convertible,8300,2018-04-01,120,120BMW,no,yes,no,no,no,used
220,21167,petrol,white,convertible,21900,2018-04-01,220,220BMW,no,no,yes,no,no,new
650,24521,petrol,grey,convertible,9200,2018-09-01,650,650BMW,no,no,yes,no,yes,new
325,205474,diesel,grey,convertible,11000,2018-04-01,325,325BMW,no,yes,no,no,no,used
Z4,128940,petrol,black,convertible,7700,2018-05-01,Z4,Z4BMW,no,no,no,no,no,used
135,126213,petrol,white,convertible,16800,2018-05-01,135,135BMW,no,no,no,no,no,used
218,24868,petrol,grey,convertible,31000,2018-05-01,218,218BMW,no,no,yes,no,no,new
420,90401,diesel,grey,convertible,26300,2018-05-01,420,420BMW,no,no,yes,no,no,used
220,46963,diesel,orange,convertible,23300,2018-05-01,220,220BMW,no,no,yes,no,no,new
Z4,43662,petrol,orange,convertible,20800,2018-05-01,Z4,Z4BMW,no,no,yes,no,no,new
318,196092,petrol,blue,convertible,1800,2018-05-01,318,318BMW,no,yes,no,no,no,used
430,113678,diesel,black,convertible,30100,2018-05-01,430,430BMW,no,no,no,no,no,used
420,65988,diesel,grey,convertible,28700,2018-05-01,420,420BMW,no,no,yes,no,no,used
Z4,123809,petrol,black,convertible,6500,2018-05-01,Z4,Z4BMW,no,no,no,no,no,used
320,181252,diesel,black,convertible,11100,2018-05-01,320,320BMW,no,yes,no,no,no,used
118,195114,diesel,red,convertible,9900,2018-05-01,118,118BMW,no,yes,no,no,no,used
Z4,82761,petrol,grey,convertible,9500,2018-05-01,Z4,Z4BMW,no,no,yes,no,no,used
218,25050,petrol,grey,convertible,31000,2018-06-01,218,218BMW,no,no,yes,no,no,new
420,64832,diesel,grey,convertible,27500,2018-06-01,420,420BMW,no,no,yes,no,no,used
120,240788,diesel,grey,convertible,5500,2018-06-01,120,120BMW,no,yes,no,no,no,used
Z4,124516,petrol,black,convertible,6300,2018-06-01,Z4,Z4BMW,no,no,no,no,no,used
318,187294,petrol,red,convertible,2400,2018-06-01,318,318BMW,no,yes,no,no,no,used
650,24452,petrol,grey,convertible,6800,2018-07-01,650,650BMW,no,no,yes,no,yes,new
218,17267,diesel,white,convertible,24200,2018-07-01,218,218BMW,no,no,yes,no,no,new
320,194192,diesel,beige,convertible,11800,2018-07-01,320,320BMW,no,yes,no,no,no,used
420,36696,diesel,black,convertible,34300,2018-07-01,420,420BMW,no,no,yes,no,no,new
M3,270907,petrol,black,convertible,12100,2018-08-01,M3,M3BMW,yes,yes,no,no,no,used
330,142483,diesel,blue,convertible,15800,2018-08-01,330,330BMW,no,no,no,no,no,used
120,223269,diesel,blue,convertible,8000,2018-08-01,120,120BMW,no,yes,no,no,no,used
120,158805,diesel,black,convertible,9000,2018-08-01,120,120BMW,no,yes,no,no,no,used
218,13131,diesel,grey,convertible,24300,2018-08-01,218,218BMW,no,no,yes,no,no,new
318,187104,petrol,red,convertible,2600,2018-08-01,318,318BMW,no,yes,no,no,no,used
420,20996,petrol,black,coupe,21400,2018-04-01,420,420BMW,no,no,yes,no,no,new
420,50222,diesel,grey,coupe,26200,2018-05-01,420,420BMW,no,no,yes,no,no,used
118,147180,diesel,black,coupe,8400,2018-07-01,118,118BMW,no,no,no,no,no,used
218,51618,diesel,grey,coupe,17100,2018-06-01,218,218BMW,no,no,yes,no,no,used
320,104433,diesel,silver,coupe,7500,2018-07-01,320,320BMW,no,no,no,no,no,used
420,77334,diesel,grey,coupe,23800,2018-07-01,420,420BMW,no,no,yes,no,no,used
420,55329,diesel,black,coupe,26500,2018-05-01,420,420BMW,no,no,yes,no,no,used
420,14041,diesel,blue,coupe,27700,2018-09-01,420,420BMW,no,no,yes,no,no,new
225,78638,diesel,black,coupe,18300,2018-01-01,225,225BMW,no,no,yes,no,no,used
320,329173,diesel,silver,coupe,2300,2018-08-01,320,320BMW,no,yes,no,yes,no,used
M235,34082,petrol,grey,coupe,30200,2018-01-01,M235,M235BMW,yes,no,yes,no,no,new
420,181644,diesel,blue,coupe,19000,2018-01-01,420,420BMW,no,yes,no,no,no,used
435,26062,petrol,blue,coupe,30500,2018-03-01,435,435BMW,no,no,yes,no,no,new
425,56250,diesel,blue,coupe,28600,2018-02-01,425,425BMW,no,no,yes,no,no,used
435,45536,petrol,white,coupe,38900,2018-02-01,435,435BMW,no,no,yes,no,no,new
640,69695,diesel,blue,coupe,36300,2018-02-01,640,640BMW,no,no,yes,no,no,used
420,61300,diesel,black,coupe,27700,2018-02-01,420,420BMW,no,no,yes,no,no,used
640,197407,diesel,blue,coupe,32100,2018-02-01,640,640BMW,no,yes,no,no,no,used
320,93066,diesel,black,coupe,11900,2018-06-01,320,320BMW,no,no,yes,no,no,used
M3,29925,petrol,silver,coupe,47000,2018-04-01,M3,M3BMW,yes,no,yes,no,yes,new
640 Gran Coupé,67403,diesel,black,coupe,55200,2018-02-01,640GranCoupé,640GranCoupéBMW,no,no,yes,no,no,used
420,199614,diesel,black,coupe,16100,2018-02-01,420,420BMW,no,yes,no,no,no,used
220,27786,diesel,white,coupe,26200,2018-02-01,220,220BMW,no,no,yes,no,no,new
420,80165,diesel,white,coupe,19500,2018-03-01,420,420BMW,no,no,yes,no,no,used
M4,69410,petrol,white,coupe,53600,2018-03-01,M4,M4BMW,yes,no,yes,no,yes,used
M3,170550,petrol,grey,coupe,28000,2018-03-01,M3,M3BMW,yes,yes,no,no,yes,used
420,42077,diesel,black,coupe,22400,2018-03-01,420,420BMW,no,no,yes,no,no,new
640,92527,diesel,blue,coupe,32000,2018-03-01,640,640BMW,no,no,yes,no,no,used
218,23949,diesel,blue,coupe,26400,2018-04-01,218,218BMW,no,no,yes,no,no,new
320,175311,diesel,black,coupe,8600,2018-03-01,320,320BMW,no,yes,no,no,no,used
435 Gran Coupé,97806,diesel,black,coupe,31500,2018-03-01,435GranCoupé,435GranCoupéBMW,no,no,yes,no,no,used
640,141346,diesel,blue,coupe,39900,2018-03-01,640,640BMW,no,no,no,no,no,used
120,220101,diesel,black,coupe,8900,2018-03-01,120,120BMW,no,yes,no,no,no,used
420,64386,diesel,grey,coupe,23800,2018-03-01,420,420BMW,no,no,yes,no,no,used
420,54993,diesel,black,coupe,18400,2018-03-01,420,420BMW,no,no,yes,no,no,used
420,152383,diesel,black,coupe,16900,2018-03-01,420,420BMW,no,yes,no,no,no,used
M235,69736,petrol,grey,coupe,30000,2018-05-01,M235,M235BMW,yes,no,yes,no,no,used
320,202812,diesel,silver,coupe,8200,2018-04-01,320,320BMW,no,yes,no,no,no,used
640,69768,diesel,black,coupe,36900,2018-04-01,640,640BMW,no,no,yes,no,no,used
120,220296,diesel,black,coupe,7500,2018-04-01,120,120BMW,no,yes,no,no,no,used
420,125965,diesel,blue,coupe,23400,2018-04-01,420,420BMW,no,no,no,no,no,used
420,193330,diesel,grey,coupe,23000,2018-04-01,420,420BMW,no,yes,no,no,no,used
i8,12402,hybrid_petrol,grey,coupe,95200,2018-04-01,i8,i8BMW,no,no,yes,no,no,new
420,147130,diesel,black,coupe,23200,2018-04-01,420,420BMW,no,no,no,no,no,used
420,96260,diesel,white,coupe,25300,2018-04-01,420,420BMW,no,no,yes,no,no,used
M3,99283,petrol,silver,coupe,28600,2018-04-01,M3,M3BMW,yes,no,no,no,yes,used
420,48431,diesel,grey,coupe,27000,2018-04-01,420,420BMW,no,no,yes,no,no,new
330,170862,diesel,white,coupe,9200,2018-04-01,330,330BMW,no,yes,no,no,no,used
420,100154,diesel,grey,coupe,22500,2018-04-01,420,420BMW,no,no,no,no,no,used
320,187967,petrol,grey,coupe,3100,2018-04-01,320,320BMW,no,yes,no,no,no,used
320,39228,diesel,grey,coupe,14600,2018-04-01,320,320BMW,no,no,yes,no,no,new
435,90763,diesel,white,coupe,26100,2018-04-01,435,435BMW,no,no,yes,no,no,used
320,342768,diesel,black,coupe,8200,2018-04-01,320,320BMW,no,yes,no,yes,no,used
320,188335,diesel,grey,coupe,8700,2018-05-01,320,320BMW,no,yes,no,no,no,used
M235,37619,petrol,black,coupe,27700,2018-05-01,M235,M235BMW,yes,no,yes,no,no,new
420,107375,diesel,white,coupe,23800,2018-05-01,420,420BMW,no,no,no,no,no,used
135,87304,petrol,white,coupe,23500,2018-05-01,135,135BMW,no,no,yes,no,no,used
420,33947,petrol,grey,coupe,28000,2018-05-01,420,420BMW,no,no,yes,no,no,new
420,61429,diesel,black,coupe,26800,2018-05-01,420,420BMW,no,no,yes,no,no,used
630,149943,petrol,black,coupe,10500,2018-05-01,630,630BMW,no,no,no,no,no,used
640,36139,diesel,beige,coupe,32100,2018-05-01,640,640BMW,no,no,yes,no,no,new
420,41353,diesel,black,coupe,22000,2018-05-01,420,420BMW,no,no,yes,no,no,new
435,121100,diesel,black,coupe,28600,2018-05-01,435,435BMW,no,no,no,no,no,used
420,80540,petrol,black,coupe,21800,2018-05-01,420,420BMW,no,no,yes,no,no,used
640,126685,diesel,black,coupe,36500,2018-05-01,640,640BMW,no,no,no,no,no,used
420,12634,diesel,grey,coupe,17800,2018-05-01,420,420BMW,no,no,yes,no,no,new
